year,title,keywords_list,producers_list,directors_list,writers_list,editing_list,cinematography_list,production_design_list,music_departments_list
2001,From Hell,jacktheripper conspiracy theorist surprise ending 19th century 1880s prostitute opium conspiracy freemason american actor playing an english character year 1888 opium den coins on eyes no opening credits bloodshed good versus evil dark hero gothic grape gore death london england police investigation insanity autopsy prostitution based on true story title spoken by character female nudity female frontal nudity queen victoria character woman in jeopardy giallo esque cigarette public nudity hair housefly whitechapel inspector murder police psychic street city running absinthe clairvoyant drinking serial killer detective,"['Thomas M. Hammel', 'Jane Hamsher', 'Albert Hughes', 'Allen Hughes', 'Don Murphy', 'Amy Robinson']","['Albert Hughes', 'Allen Hughes']","['Alan Moore', 'Eddie Campbell', 'Terry Hayes', 'Rafael Yglesias']","['George Bowers', 'Dan Lebental']",['Peter Deming'],['Martin Childs'],"['Geoff Alexander', 'John Bell', 'Robb Boyd', 'Peter Cobbin', 'Gareth Cousins', 'Nicholas Fluhr', 'Alex Gibson', 'Trevor Jones', 'Julian Kershaw', 'Mike Knobloch', 'London Voices', 'Victoria Seale', 'Tony Stanton', 'Rachel Bolt', 'Gareth Cousins', 'Ellen Ginsburg', 'Roger Linley', 'Steve Mair', 'Jeremy Raub']"
2007,The Woods Have Eyes,slasher backwoods slasher forest human hunting a human revenge supernatural power female rear nudity communal shower woods legend female nudity murder mental disability lost in woods hunt decapitation death camping beheading,"['Chesley Heymsfield', 'Scott Horner', 'Anthony Indelicato', 'Endrick Lekay']",['Anthony Indelicato'],"['Frank Adonis', 'Anthony Indelicato', 'Jason Noto']","['Jeff Harkavy', 'Denise Sadighi']",['Valentina Caniglia'],['Jerry Eller'],[]
1997,The Vicious Sweet,actress zombie filmmaking,['Ron Bonk'],['Ron Bonk'],['Ron Bonk'],[],['Ron Bonk'],[],[]
2006,The Choke,teenager rock band slasher teen slasher rock and roll serial killer serial murder psychopathic killer psychopath horror rock n roll band rock video camera van murder impalement gore drumsticks blood murdered with an axe choke,"['Rich Cowan', 'Marc Dahlstrom', 'Dan Heigh', 'Juan Mas', 'Greg Rathvon', 'Dave Tanner', 'Taye Voye']",['Juan Mas'],"['Jessica Dolan', 'Susannah Lowber']",['Jason A. Payne'],['Douglas Cheney'],"['Vincent DeFelice', 'Susannah Lowber']",[]
1962,Hands of a Stranger,psychotronic film hand transplant taxi taxi driver creature feature prologue scene during opening credits pianist car eccentric artist hand surgeon concert pianist car crash love interest kiss death wainscoting source music jazz jazz music boy woman on fire strangulation shot in the chest severed hand serial killer seeing eye dog screaming in fear revenge reluctant to marry reference to william shakespeare punched in the face police officer police lieutenant pipe smoking philosophical debate pair of gloves operating room nurse murder murder of a boy morgue maniac insane man mad scientist lamp post insanity grand piano glove,"['Newt Arnold', 'Michael Du Pont']",['Newt Arnold'],"['Newt Arnold', 'Maurice Renard']",['Bert Honey'],['Henry Cronjager Jr.'],[],"['Richard LaSalle', 'Lee Osborne']"
1981,X-Ray,surgical mask child murders a child hospital female nudity decapitation murder psychopath valentines day cake x ray scalpel blood axe elevator falling from height rooftop person on fire serial murder slasher killer hospital gown masked killer trapped stalker divorced couple rotary phone smoking in a hospital female star appears nude female topless nudity female feet camera shot of feet stabbed to death severed head slasher psychotronic film revenge revenge plot grindhouse film horror b movie bloody violence revenge murder woman in jeopardy mother daughter relationship child murderer psychiatric patient director cameo low budget film,"['Yoram Globus', 'Menahem Golan', 'Christopher Pearce', 'Geoffrey Rose', 'John Thompson']",['Boaz Davidson'],"['Marc Behm', 'Boaz Davidson']",['Jon Koslowsky'],['Nicholas Josef von Sternberg'],['Jac McAnelly'],"['Ira Hearshen', 'Arlon Ober']"
1995,Tales from the Crypt: Demon Knight,gore demon church prostitute african american woman zombie attack monster zombie blood splatter possession supernatural power brutality mind control psychic scene during opening credits survival horror world war one explosion self sacrifice showdown fantasy sequence car accident macguffin holy blood motel courage surprise after end credits siege breaking the fourth wall illusion dark fantasy temptation sex scene blood of christ alcoholic person on fire stabbed in the eye crypt keeper good versus evil exploding car shot in the eye decapitation demonic possession title spoken by character surprise ending bus pun shotgun interrupted sex woman in a bathtub,"['Gilbert Adler', 'Alexander B. Collett', 'Dan Cracchiolo', 'Richard Donner', 'Richard Edlund', 'David Giler', 'Walter Hill', 'A L Katz', 'Scott Nimerfro', 'Joel Silver', 'Wendy Wanderman', 'Robert Zemeckis']",['Ernest R. Dickerson'],"['Ethan Reiff', 'Cyrus Voris', 'Mark Bishop']",['Stephen Lovejoy'],['Rick Bota'],"['Christiaan Wagener', 'Gregory S. Melton']","['Christopher Brooks', 'Danny Elfman', 'Michael Kamen', 'The London Metropolitan Orchestra', 'Stephen McLaughlin', 'Tim Renwick']"
1990,Sorority Girls and the Creature from Hell,stalker cabin in the woods vacation gone wrong escaped prisoner cabin monster thrown from a rooftop sex in a swimming pool raccoon human sacrifice helicopter hand grenade cave basset hound female nudity b movie nudity independent film,"['John Francis', 'John McBrearty', 'Baxter Wellmon']",['John McBrearty'],"['John McBrearty', 'John McBrearty', 'Lynette McBrearty']","['Vincent C. Ellis', 'Ellen Keneshea']",['Vincent C. Ellis'],[],[]
2005,A Quiet Love,perseverance breaking and entering train theft raven police party neighbor moving in loneliness job promotion interview hospital hearing aid grandfather danish german border fishing falling in love dead body in water bus arrest accident color in title death of father,"['Felix Blum', 'Holger Hage', 'Horst Königstein', 'Arne Ludwig', 'Daniela Mussgiller', 'Georg Steinert']",['Till Franzen'],['Till Franzen'],"['Till Franzen', 'Sebastian Schultz']",['Manuel Mack'],['Birgit Esser'],"['Martin Offik', 'Enis Rotthoff']"
2009,Bloodstone,vampire indiana blood gun action,"['James Ian Mair', 'James Stevenson']",['James Ian Mair'],['James Ian Mair'],"['James Ian Mair', 'James Stevenson']",[],[],[]
2009,The Intervention,f rated independent film,"['Ted Collins', 'Carol Cooley', 'Richard Eden', 'Shannon Hile', 'Mark Schusterman', 'Carrie Tyson']",['Shannon Hile'],"['Richard Eden', 'Shannon Hile']",['Eric O. Schusterman'],['Kurt Brabbee'],[],['Roman Kovalik']
1999,Vampires of Sorority Row,boxing female nudity female vampire kickboxing hazing vampire vampire slayer sorority house sorority spanking independent film,"['Dennis Devine', 'Brian Dunn', 'Kathryn Glass', 'Steve Jarvis']","['Dennis Devine', 'Kathryn Glass']",['Dennis Devine'],['Dennis Devine'],['Dennis Devine'],['Xany Rudoff'],['Brian Ahrens']
2008,Fistful of Brains,spaghetti western spoof title directed by female zombie brother versus brother f rated undressing falling off a cliff flesh eating zombie wild west wet clothes swimming in underwear sequel mentioned during end credits scythe saloon saloon girl public hanging premarital sex partial female nudity panties hit the floor pantaloon north carolina intestines implied nudity heart ripped out hanging guts grim reaper gore female protagonist falling into water eaten alive disembowelment disembodied head decapitation cleavage blood beheading back from the dead 1870s zombie spoof spoof surprise ending,"['Sting Cain', 'Kristdan Fisher', 'Bret Harris', 'Lanny Maude', 'Bill Mulligan', 'Christopher Olson', 'Christine Parker', 'Charles G. Schoenknecht', 'Edward Warner']",['Christine Parker'],['Christine Parker'],['Christine Parker'],"['Bill Mulligan', 'Christine Parker']",[],[]
2009,Alien Trespass,1950s psychotronic film golden labrador campy timeframe 1950s alien invasion sci fi parody comedy alien waitress ghota spaceship police monster mojave diner crash landing butte astronomer strangulation ice planet sugar extraterrestrial invader alien being monstrous creature sunrise spilled popcorn killed by monster missing vacuum cleaner bag spilled sugar invisibility mispronounced word possession dog licking someone american flag spilled salt close up of eyes tentacle lesbian innuendo seven point police badge refracting telescope space alien barbecue grill candlelight dinner double barreled shotgun some scenes in black and white pipe smoking lighting cigarette for woman night rocket launch animated sequence newsreel,"['Warren Carr', 'R.W. Goodwin', 'Crawford Hawkins', 'Jim Swift']",['R.W. Goodwin'],"['Steven P. Fisher', 'Jim Swift', 'Steven P. Fisher']","['Vaune Kirby Frechette', 'Michael Jablow']",['David Moxness'],['Ian D. Thomas'],"['Chris McGeary', 'Rob Schwimmer', 'Jenny Leite']"
1995,Original Sins,cult film independent film,"['Howard S. Berger', 'Matthew M. Howe', 'David Siegel']","['Howard S. Berger', 'Matthew M. Howe']","['Howard S. Berger', 'Matthew M. Howe']",[],['Matthew M. Howe'],[],[]
1986,"Goremet, Zombie Chef from Hell",z movie cannibal restaurant blood splatter shot on video low budget film blood severed head severed arm dismemberment severed foot severed limb decapitation knife butcher knife gore slasher horror dismembering a dead body zombie violence slasher independent film,"['Loy Dellinger', 'William Highsmith', 'Jon Lamphere', 'Don Swan']",['Don Swan'],"['Jeff Baughn', 'William Highsmith', 'Don Swan']",['Don Swan'],['Don Swan'],[],[]
1972,The Cremators,psychotronic film alien invasion sci fi glowing skin speculation sand dune radioactivity disintegration eyewitness disbelieving authority murder investigation investigation police investigation ford f100 pickup truck ball of fire,"['Jax Jason Carroll', 'Roger Corman', 'Harry Essex']",['Harry Essex'],"['Harry Essex', 'Julian C. May']",['Robert Freeman'],['Robert Caramico'],[],[]
2001,Biohazardous,cult film bio hazard b movie gore zombie independent film,"['Howard Hein', 'Michael J. Hein']",['Michael J. Hein'],['Michael J. Hein'],['Jimmy Boyd'],['Bud Gardner'],[],[]
1963,House of Dreams,independent film,['Robert Berry'],['Robert Berry'],['Robert Berry'],['Robert Berry'],"['Robert Berry', 'Lance Bird', 'Roger Sanders', 'Ed Stewart']",['Pauline Bradley'],[]
2006,Costa Chica: Confession of an Exorcist,rescue,"['Russell Green', 'David Heavener', 'Barry Strudwick']",['David Heavener'],['David Heavener'],['Jeff Alley'],[],['Joann Gross'],[]
2008,A Gothic Tale,gothic,"['Josh Fong', 'Steven Hirsch', 'Mike Lancaster', 'A. Brooks Medoff', 'Don Randles', 'Justin Paul Ritter']",['Justin Paul Ritter'],"['Ryan Plato', 'Justin Paul Ritter']",['Justin Paul Ritter'],['Josh Fong'],['Alex Cassun'],"['Nathan Dugi-Turner', 'Eilam Hoffman', 'Michael Iannantuono', 'Tomer Kantor', 'Raymond Schnurr', 'Mike Williams']"
2007,The Lycanthrope,werewolf lycanthrope lycanthropy,"['Delia Martin Del Campo', 'Joey Paul Gowdy', 'Matt Thompson']",['Tony Quinn'],['Tony Quinn'],['Matt Thompson'],[],[],[]
1957,The Vampire,metamorphosis death of protagonist shot to death death by gunshot antihero antagonist as protagonist wanted man running from the police chased by police woods forest shooting gunshot scream screaming woman audio recording audio tape testament police car remorse guilt burning a dead body moving a dead body carrying a dead body violence transformation crying man crying male drug addiction drug addict drug withdrawal symptom small town reference to dracula confession to murder notebook memory lapse typing typewriter crying crying girl crying female single father widower broken mirror cracked mirror breaking a mirror mirror split personality schizophrenia,"['Arthur Gardner', 'Arnold Laven', 'Jules V. Levy']",['Paul Landres'],"['Pat Fielder', 'Pat Fielder']",['John Faure'],['Jack MacKenzie'],[],"['Gerald Fried', 'Victor Arno', 'Mitchell Lurie', 'Shelly Manne']"
2009,Hurt,foster child arizona f rated sexual obsession second family bigamist double life lawyer junkyard impalement incest subtext suicide title directed by female classic car diabetes child with gun wolf coughing blood menstrual blood orphan family relationships murder one word title death of father title spoken by character,"['Eduardo Levy', 'David Martin', 'James Martin', 'Paul Martin', 'Nikolette Orlandou']",['Barbara Stepansky'],"['Alison Lea Bingeman', 'Barbara Stepansky', 'James Martin', 'Eduardo Levy']",['Rita DaSilva'],['Ralph Kaechele'],['Scott Enge'],"['Chuck Choi', 'David Julyan']"
2006,The Monster of Phantom Lake,slapped in the face parody comedy monster mutated professor jackson phantom lake five word title character says i have a bad feeling about this toxic waste parody homage lobo horror spoof,"['Josh Craig', 'Charles Mihm', 'Christopher R. Mihm']",['Christopher R. Mihm'],['Christopher R. Mihm'],['Christopher R. Mihm'],['Christopher R. Mihm'],[],[]
2009,Grace,pregnancy anemia bare chested male female led relationship stethoscope exam character name as title forename as title grindhouse film baby stillbirth car accident blood midwife corpse vomiting breasts crying baby bathing baby housefly teething cat food biting someones neck vitamin supplement hand tremor kiss on the cheek close up of hands drinking blood infestation cat litter swatting a fly bouquet birthing tub obsessive compulsive vaginal bleeding car crash family dinner dead mouse liver and onions soy milk black cat killing an animal female protagonist evil child female frontal nudity cannibalism lactation recluse airbag sex water birth,"['Rhonda Baker', 'Kevin DeWalt', 'Simon Edery', 'Scott Einbinder', 'Adam Green', 'Ty Hyland', 'Cory Neal', 'Janine Stener', 'Ingo Vollkammer']",['Paul Solet'],['Paul Solet'],"['John Coniglio', 'Darrin Navarro']",['Zoran Popovic'],['Martina Buckley'],"['Kevin Globerman', 'Tina Guo', 'Patrick Henthorn', 'Lewis Jones', 'David M. Poole', 'Lisbeth Scott', 'Austin Wintory', 'Megan Wintory']"
